url,checked,street,city,state,zip_code,price,beds,baths,sqft,home_type,neighborhood,walk_score,transit_score,bike_score,sold_history
https://www.redfin.com/GA/Atlanta/399-Sunset-Ave-NW-30314/home/24591370,1,399 Sunset Ave NW ,"Atlanta<!-- -->, ",GA,30314,"89,900",<span>—</span>,<span>—</span>,<span>—</span>,Vacant Land,  Transportation in <!-- -->English Avenue,50,52,46,"$50,000<span class=""number positive empty""> (4.9%/yr)</span>:Jan 22, 2019;$50,000<span class=""number empty""> </span>:Jan 18, 2019;$10,600<span class=""number empty""> </span>:Jun 27, 1986"
https://www.redfin.com/GA/Atlanta/878-Peachtree-St-NE-30309/unit-318/home/24652427,1,878 Peachtree St NE #318 ,"Atlanta<!-- -->, ",GA,30309,"345,000",1,1,954,Condo/Co-op,  Transportation in <!-- -->Midtown,91,64,74,"$214,000<span class=""number positive empty""> (0.9%/yr)</span>:May 22, 2017;$214,000<span class=""number empty""> </span>:May 12, 2017;$214,000<span class=""number empty""> </span>:May 12, 2017;$192,900<span class=""number positive empty""> (8.6%/yr)</span>:Sep 19, 2005;$163,000<span class=""number empty""> </span>:Sep 8, 2003"
https://www.redfin.com/GA/Atlanta/1080-Peachtree-St-NE-30309/unit-1810/home/25542804,1,1080 NE Peachtree St #1810 ,"Atlanta<!-- -->, ",GA,30309,"770,000",2,2,"1,397",Condo/Co-op,  Transportation in <!-- -->Midtown,91,64,72,
https://www.redfin.com/GA/Atlanta/788-W-Marietta-St-NW-30318/unit-1305/home/173843602,1,788 W Marietta St #1305 ,"Atlanta<!-- -->, ",GA,30318,"695,400",2,2.5,"1,345",Condo/Co-op,  Transportation in <!-- -->English Avenue,77,44,66,
https://www.redfin.com/GA/Atlanta/318-Gibson-St-SE-30316/unit-8/home/169401111,1,318 Gibson St SE #8 ,"Atlanta<!-- -->, ",GA,30316,"719,900",3,4.5,"2,907",Townhouse,  Transportation in <!-- -->Reynoldstown,82,50,64,
https://www.redfin.com/GA/Atlanta/1101-Juniper-St-NE-30309/unit-106/home/24797134,1,1101 Juniper St NE #106 ,"Atlanta<!-- -->, ",GA,30309,"238,000",1,1,764,Condo/Co-op,  Transportation in <!-- -->Midtown,90,63,69,
https://www.redfin.com/GA/Atlanta/1280-W-Peachtree-St-NW-30309/unit-808/home/24582846,1,1280 W Peachtree St NW #808 ,"Atlanta<!-- -->, ",GA,30309,"188,000",1,1,813,Condo/Co-op,  Transportation in <!-- -->Midtown,83,62,68,
https://www.redfin.com/GA/Atlanta/834-Oakdale-Rd-NE-30307/home/23715333,1,834 Oakdale Rd NE ,"Atlanta<!-- -->, ",GA,30307,"2,250,000",5,3.5,"5,000",Single Family Residential,  Transportation in <!-- -->Druid Hills,28,37,38,
https://www.redfin.com/GA/Atlanta/1400-Fairmont-Ave-NW-30318/home/174025925,1,0 English St NW ,"Atlanta<!-- -->, ",GA,30318,"265,000",<span>—</span>,<span>—</span>,<span>—</span>,Vacant Land,  Transportation in <!-- -->Blandtown,31,35,50,
https://www.redfin.com/GA/Atlanta/44-Peachtree-Pl-NW-30309/unit-426/home/24678655,1,44 Peachtree Pl NW #426 ,"Atlanta<!-- -->, ",GA,30309,"265,000",1,1,774,Condo/Co-op,  Transportation in <!-- -->Midtown,90,63,75,
https://www.redfin.com/GA/Atlanta/850-Piedmont-Ave-NE-30308/unit-1408/home/24596807,1,850 Piedmont Ave NE #1408 ,"Atlanta<!-- -->, ",GA,30308,"559,900",2,2,"1,516",Condo/Co-op,  Transportation in <!-- -->Midtown,91,62,76,
https://www.redfin.com/GA/Atlanta/345-6th-St-NE-30308/home/24859290,1,345 6th St NE ,"Atlanta<!-- -->, ",GA,30308,"1,399,999",5,5,"3,101",Single Family Residential,  Transportation in <!-- -->Midtown,87,57,79,"$398,000<span class=""number positive empty""> (11.8%/yr)</span>:May 21, 2013;$398,000<span class=""number empty""> </span>:May 13, 2013;$250,000<span class=""number negative empty""> (−28.0%/yr)</span>:Mar 20, 2009;$425,000<span class=""number empty""> </span>:Aug 7, 2007"
https://www.redfin.com/GA/Atlanta/818-Glendale-Ter-NE-30308/unit-B/home/172578756,1,818 Glendale Ter NE Unit B ,"Atlanta<!-- -->, ",GA,30308,"1,100,000",4,3.5,"2,465",Townhouse,  Transportation in <!-- -->Midtown,84,57,77,
https://www.redfin.com/GA/Atlanta/145-15th-St-NE-30309/unit-628/home/24794567,1,145 15th St NE #628 ,"Atlanta<!-- -->, ",GA,30309,"449,900",2,2.5,"1,724",Condo/Co-op,  Transportation in <!-- -->Midtown,86,61,74,
https://www.redfin.com/GA/Atlanta/600-Morning-Glory-Pl-NE-30324/home/170035031,1,600 Morning Glory Pl NE ,"Atlanta<!-- -->, ",GA,30324,"579,900",4,3.5,"1,982",Townhouse,  Transportation in <!-- -->Martin Manor,59,0,33,
https://www.redfin.com/GA/Atlanta/69-Krog-St-NE-30307/home/173784873,1,69 Krog St ,"Atlanta<!-- -->, ",GA,30307,"1,055,900",4,4.5,"2,553",MultiFamily,  Transportation in <!-- -->Inman Park,92,55,82,
https://www.redfin.com/GA/Atlanta/1200-Ponce/Emory/home/171170799,1,Emory ,"Atlanta<!-- -->, ",GA,30306,"639,900+",2,2.5,"1,625",MultiFamily,  Transportation in <!-- -->Druid Hills,85,44,81,
https://www.redfin.com/GA/Atlanta/845-Spring-St-NW-30308/unit-418/home/24667057,1,845 Spring St NW #418 ,"Atlanta<!-- -->, ",GA,30308,"429,900",2,2,"1,225",Condo/Co-op,  Transportation in <!-- -->Midtown,90,64,77,
https://www.redfin.com/GA/Atlanta/375-Ralph-McGill-Blvd-NE-30312/unit-1203/home/24779126,1,375 Ralph Mcgill Blvd NE #1203 ,"Atlanta<!-- -->, ",GA,30312,"183,000",2,1,882,Condo/Co-op,  Transportation in <!-- -->Old Fourth Ward,69,63,89,
https://www.redfin.com/GA/Atlanta/1080-Peachtree-St-NE-30309/unit-1309/home/28491234,1,1080 Peachtree St NE #1309 ,"Atlanta<!-- -->, ",GA,30309,"695,000",2,2,"1,398",Condo/Co-op,  Transportation in <!-- -->Midtown,91,64,72,
https://www.redfin.com/GA/Atlanta/659-East-Ave-NE-30312/unit-B/home/166080634,1,659 East Ave NE Unit B ,"Atlanta<!-- -->, ",GA,30312,"709,000",3,3.5,"2,114",Townhouse,  Transportation in <!-- -->Old Fourth Ward,84,50,83,
https://www.redfin.com/GA/Atlanta/270-17th-St-NW-30363/unit-3610/home/171287434,1,270 17th St NW #3610 ,"Atlanta<!-- -->, ",GA,30363,"589,900",2,2.5,"1,369",Condo/Co-op,  Transportation in <!-- -->Atlantic Station,83,55,71,
https://www.redfin.com/GA/Atlanta/565-Peachtree-St-NE-30308/unit-1403/home/24786241,1,565 Peachtree St #1403 ,"Atlanta<!-- -->, ",GA,30308,"410,000",2,2,"1,380",Condo/Co-op,  Transportation in <!-- -->SoNo,90,66,70,
https://www.redfin.com/GA/Atlanta/950-W-Peachtree-St-NW-30309/unit-1814/home/24744616,1,950 W Peachtree St #1814 ,"Atlanta<!-- -->, ",GA,30309,"430,000",2,2,"1,196",Condo/Co-op,  Transportation in <!-- -->Midtown,90,63,75,"$390,000<span class=""number positive empty""> (5.6%/yr)</span>:Jan 20, 2017;$390,000<span class=""number empty""> </span>:Jan 17, 2017;$390,000<span class=""number empty""> </span>:Jan 17, 2017;$375,000<span class=""number empty""> </span>:May 3, 2016;$375,000<span class=""number empty""> </span>:Apr 29, 2016;$375,000<span class=""number empty""> </span>:Apr 29, 2016"
https://www.redfin.com/GA/Atlanta/512-Grant-St-SE-30312/home/24607590,1,512 Grant St SE ,"Atlanta<!-- -->, ",GA,30312,"499,900",4,2,"2,334",Single Family Residential,  Transportation in <!-- -->Grant Park,64,57,64,
